participant_id,arm,converted,city,age
p1075,b,0,上海,35
p1076,b,0,广州,35
p1077,b,1,北京,25
p1078,b,0,上海,25
p1079,b,0,广州,25
p1080,b,1,北京,35
p1081,b,0,上海,35
p1082,b,0,广州,35
p1083,b,1,北京,25
p1084,b,0,上海,25
p1085,b,0,广州,25
p1086,b,1,北京,35
p1087,b,0,上海,35
p1088,b,0,广州,35
p1089,b,1,北京,25
p1090,b,0,上海,25
p1091,b,0,广州,25
p1092,b,1,北京,35
p1093,b,0,上海,35
p1094,b,0,广州,35
p1095,b,1,北京,25
p1096,b,0,上海,25
p1097,b,0,广州,25
p1098,b,1,北京,35
p1099,b,0,上海,35
p1100,b,0,广州,35
p1101,b,1,北京,25
p1102,b,0,上海,25
p1103,b,0,广州,25
p1104,b,1,北京,35
p1105,b,0,上海,35
p1106,b,0,广州,35
p1107,b,1,北京,25
p1108,b,0,上海,25
p1109,b,0,广州,25
p1110,b,1,北京,35
p1111,b,0,上海,35
p1112,b,0,广州,35
p1113,b,1,北京,25
p1114,b,0,上海,25
p1115,b,0,广州,25
p1116,b,1,北京,35
p1117,b,0,上海,35
p1118,b,0,广州,35
p1119,b,1,北京,25
p1120,b,0,上海,25
p1121,b,0,广州,25
p1122,b,1,北京,35
p1123,b,0,上海,35
p1124,b,0,广州,35
p1125,b,1,北京,25
p1126,b,0,上海,25
p1127,b,0,广州,25
p1128,b,1,北京,35
p1129,b,0,上海,35
p1130,b,0,广州,35
p1131,b,1,北京,25
p1132,b,0,上海,25
p1133,b,0,广州,25
p1134,b,1,北京,35
p1135,b,0,上海,35
p1136,b,0,广州,35
p1137,b,1,北京,25
p1138,b,0,上海,25
p1139,b,0,广州,25
p1140,b,1,北京,35
p1141,b,0,上海,35
p1142,b,0,广州,35
p1143,b,1,北京,25
p1144,b,0,上海,25
p1145,b,0,广州,25
p1146,b,1,北京,35
p1147,b,0,上海,35
p1148,b,0,广州,35
p1149,b,1,北京,25
p1150,b,0,上海,25
p1151,b,0,广州,25
p1152,b,1,北京,35
p1153,b,0,上海,35
p1154,b,0,广州,35
p1155,b,1,北京,25
p1156,b,0,上海,25
p1157,b,0,广州,25
p1158,b,1,北京,35
p1159,b,0,上海,35
p1160,b,0,广州,35
p1161,b,1,北京,25
p1162,b,0,上海,25
p1163,b,0,广州,25
p1164,b,1,北京,35
p1165,b,0,上海,35
p1166,b,0,广州,35
p1167,b,1,北京,25
p1168,b,0,上海,25
p1169,b,0,广州,25
p1170,b,1,北京,35
p1171,b,0,上海,35
p1172,b,0,广州,35
p1173,b,1,北京,25
p1174,b,0,上海,25
p1175,b,0,广州,25
p1176,b,1,北京,35
p1177,b,0,上海,35
p1178,b,0,广州,35
p1179,b,1,北京,25
p1180,b,0,上海,25
p1181,b,0,广州,25
p1182,b,1,北京,35
p1183,b,0,上海,35
p1184,b,0,广州,35
p1185,b,1,北京,25
p1186,b,0,上海,25
p1187,b,0,广州,25
p1188,b,1,北京,35
p1189,b,0,上海,35
p1190,b,0,广州,35
p1191,b,1,北京,25
p1192,b,0,上海,25
p1193,b,0,广州,25
p1194,b,1,北京,35
p1195,b,0,上海,35
p1196,b,0,广州,35
p1197,b,1,北京,25
p1198,b,0,上海,25
p1199,b,0,广州,25
p1200,b,1,北京,35
p1201,b,0,上海,35
p1202,b,0,广州,35
p1203,b,1,北京,25
p1204,b,0,上海,25
p1205,b,0,广州,25
p1206,b,1,北京,35
p1207,b,0,上海,35
p1208,b,0,广州,35
p1209,b,1,北京,25
p1210,b,0,上海,25
p1211,b,0,广州,25
p1212,b,1,北京,35
p1213,b,0,上海,35
p1214,b,0,广州,35
p1215,b,1,北京,25
p1216,b,0,上海,25
p1217,b,0,广州,25
p1218,b,1,北京,35
p1219,b,0,上海,35
p1220,b,0,广州,35
p1221,b,1,北京,25
p1222,b,0,上海,25
p1223,b,0,广州,25
p1224,b,1,北京,35
p1225,b,0,上海,35
p1226,b,0,广州,35
p1227,b,1,北京,25
p1228,b,0,上海,25
p1229,b,0,广州,25
p1230,b,1,北京,35
p1231,b,0,上海,35
p1232,b,0,广州,35
p1233,b,1,北京,25
p1234,b,0,上海,25
p1235,b,0,广州,25
p1236,b,1,北京,35
p1237,b,0,上海,35
p1238,b,0,广州,35
p1239,b,1,北京,25
p1240,b,0,上海,25
p1241,b,0,广州,25
p1242,b,1,北京,35
p1243,b,0,上海,35
p1244,b,0,广州,35
p1245,b,1,北京,25
p1246,b,0,上海,25
p1247,b,0,广州,25
p1248,b,1,北京,35
p1249,b,0,上海,35
p1250,b,0,广州,35
p1251,b,1,北京,25
p1252,b,0,上海,25
p1253,b,0,广州,25
p1254,b,1,北京,35
p1255,b,0,上海,35
p1256,b,0,广州,35
p1257,b,1,北京,25
p1258,b,0,上海,25
p1259,b,0,广州,25
p1260,b,1,北京,35
p1261,b,0,上海,35
p1262,b,0,广州,35
p1263,b,1,北京,25
p1264,b,0,上海,25
p1265,b,0,广州,25
p1266,b,1,北京,35
p1267,b,0,上海,35
p1268,b,0,广州,35
p1269,b,1,北京,25
p1270,b,0,上海,25
p1271,b,0,广州,25
p1272,b,1,北京,35
p1273,b,0,上海,35
p1274,b,0,广州,35
p1275,b,1,北京,25
p1276,b,0,上海,25
p1277,b,0,广州,25
p1278,b,1,北京,35
p1279,b,0,上海,35
p1280,b,0,广州,35
p1281,b,1,北京,25
p1282,b,0,上海,25
p1283,b,0,广州,25
p1284,b,1,北京,35
p1285,b,0,上海,35
p1286,b,0,广州,35
p1287,b,1,北京,25
p1288,b,0,上海,25
p1289,b,0,广州,25
p1290,b,1,北京,35
p1291,b,0,上海,35
p1292,b,0,广州,35
p1293,b,1,北京,25
p1294,b,0,上海,25
p1295,b,0,广州,25
p1296,b,1,北京,35
p1297,b,0,上海,35
p1298,b,0,广州,35
p1299,b,1,北京,25
p1300,b,0,上海,25
